,url,title,location,make,model,trim,engine,price,year,mileage,transmission,options,power options,body_type,inter_color,exter_color,fuel_type,vehicle_title,for_sale_by,city,state,state_name,lat,lng,state_id,extra_info
3485,https://www.ebay.com/itm/203748206353?hash=item2f7056e711%3Ag%3ATF8AAOSw%7EC1g7tOX&LH_BIN=1,2019 Honda HR-V Sport SUV 4D,"Greenfield, Indiana, United States",honda,AWD Sport 4dr Crossover,Sport SUV 4D,1.8L I4 141hp 127ft. lbs.,23590,2019,24169,automatic,,,wagon,Black,Gray,Gasoline,Clean,Dealer,Greenfield,Indiana,Indiana,39.7936,-85.7737,IN,"Model: AWD Sport 4dr Crossover,  Engine: 1.8L I4 141hp 127ft. lbs., Trim: Sport SUV 4D, Options: , Inner Color: Black, Outside color: Gray"
3486,https://www.ebay.com/itm/203748220413?hash=item2f70571dfd%3Ag%3At1cAAOSwRjlhtOlP&LH_BIN=1,2021 Subaru Forester Touring Sport Utility 4D,"Tempe, Arizona, United States",subaru,AWD Touring 4dr Crossover,Touring Sport Utility 4D,2.5L H4 16V,39990,2021,13421,automatic,,,wagon,Saddle Brown,White,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: AWD Touring 4dr Crossover,  Engine: 2.5L H4 16V, Trim: Touring Sport Utility 4D, Options: , Inner Color: Saddle Brown, Outside color: White"
3487,https://www.ebay.com/itm/203748163610?hash=item2f7056401a%3Ag%3AJPgAAOSwITBhtNsU&LH_BIN=1,2013 Subaru Outback 2.5i Premium Wagon 4D,"Tempe, Arizona, United States",subaru,AWD 2.5i Premium 4dr Wagon CVT,2.5i Premium Wagon 4D,2.5L H4 16V,17990,2013,82769,automatic,,,wagon,Black,Graphite Gray Metallic,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: AWD 2.5i Premium 4dr Wagon CVT,  Engine: 2.5L H4 16V, Trim: 2.5i Premium Wagon 4D, Options: , Inner Color: Black, Outside color: Graphite Gray Metallic"
3488,https://www.ebay.com/itm/203748186344?hash=item2f705698e8%3Ag%3AzvUAAOSw1gJhoSEz&LH_BIN=1,2018 Toyota C-HR XLE Sport Utility 4D,"Philadelphia, Pennsylvania, United States",toyota,C-HR,XLE Sport Utility 4D,2L I4 16V,24990,2018,26647,automatic,,,wagon,Black,Silver Knockout Metallic,Gasoline,Clean,Dealer,Philadelphia,Pennsylvania,Pennsylvania,40.0077,-75.1339,PA,"Model: C-HR,  Engine: 2L I4 16V, Trim: XLE Sport Utility 4D, Options: , Inner Color: Black, Outside color: Silver Knockout Metallic"
3489,https://www.ebay.com/itm/203748221028?hash=item2f70572064%3Ag%3AutkAAOSwYbJhqlJj&LH_BIN=1,2020 Ford EcoSport S Sport Utility 4D,"Tempe, Arizona, United States",ford,S 4dr Crossover,S Sport Utility 4D,1L I3 12V,22590,2020,14676,automatic,,,wagon,Medium Stone,Shadow Black,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: S 4dr Crossover,  Engine: 1L I3 12V, Trim: S Sport Utility 4D, Options: , Inner Color: Medium Stone, Outside color: Shadow Black"
3490,https://www.ebay.com/itm/234331140386?hash=item368f397122%3Ag%3A5DQAAOSwR6lhOOeG&LH_BIN=1,1958 Dodge Coronet,"Simpsonville, South Carolina, United States",dodge,Coronet,,--,49901,1958,71984,manual,--,--,wagon,--,White,Gasoline,--,Dealer,Simpsonville,South Carolina,South Carolina,34.7287,-82.2573,SC,"Model: Coronet,  Engine: --, Trim: , Options: --, Inner Color: --, Outside color: White"
3491,https://www.ebay.com/itm/203748191948?hash=item2f7056aecc%3Ag%3A2K4AAOSwroBhirTK&LH_BIN=1,2017 Volkswagen Golf Alltrack TSI S Wagon 4D,"Tempe, Arizona, United States",volkswagen,Golf Alltrack,TSI S Wagon 4D,1.8L Turbo I4 170hp 184ft. lbs.,21990,2017,69950,manual,,,wagon,Beige,Deep Black Pearl,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: Golf Alltrack,  Engine: 1.8L Turbo I4 170hp 184ft. lbs., Trim: TSI S Wagon 4D, Options: , Inner Color: Beige, Outside color: Deep Black Pearl"
3492,https://www.ebay.com/itm/284564758615?hash=item424161a057%3Ag%3AcukAAOSwLalg%7E92D&LH_BIN=1,1961 Willys Jeep Wagon - SEE VIDEO -,"Mundelein, Illinois, United States",other,Wagon,- SEE VIDEO -,--,27900,1961,0,automatic,--,--,pickup,Black,Red,Gasoline,--,Dealer,Mundelein,Illinois,Illinois,42.2691,-88.0101,IL,"Model: Wagon,  Engine: --, Trim: - SEE VIDEO -, Options: --, Inner Color: Black, Outside color: Red"
3493,https://www.ebay.com/itm/203748241877?hash=item2f705771d5%3Ag%3AsgAAAOSwdKdhtO19&LH_BIN=1,2017 Nissan Rogue SV Sport Utility 4D,"Tempe, Arizona, United States",nissan,Rogue,SV Sport Utility 4D,2.5L I4 170hp 175ft. lbs.,20990,2017,66185,automatic,,,wagon,Charcoal,Magnetic Black,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: Rogue,  Engine: 2.5L I4 170hp 175ft. lbs., Trim: SV Sport Utility 4D, Options: , Inner Color: Charcoal, Outside color: Magnetic Black"
3494,https://www.ebay.com/itm/384588416714?hash=item598b4186ca%3Ag%3A%7EV0AAOSwNgZhoOFI&LH_BIN=1,2009 Subaru Forester 2.5 X Premium,"Moscow Mills, Missouri, United States",subaru,AWD 2.5 X Premium 4dr Wagon 5M,2.5 X Premium,Style/Body:Wagon,6990,2009,160336,manual,,,wagon,Aurora Platinum Cloth,Sage Green Metallic,Gasoline,Clean,Dealer,Moscow Mills,Missouri,Missouri,38.94,-90.9254,MO,"Model: AWD 2.5 X Premium 4dr Wagon 5M,  Engine: Style/Body:Wagon, Trim: 2.5 X Premium, Options: , Inner Color: Aurora Platinum Cloth, Outside color: Sage Green Metallic"
3495,https://www.ebay.com/itm/203748233901?hash=item2f705752ad%3Ag%3A5PAAAOSwKkhhkUfP&LH_BIN=1,2018 Nissan Rogue S Sport Utility 4D,"Tempe, Arizona, United States",nissan,Rogue,S Sport Utility 4D,2.5L I4 16V,19990,2018,63984,automatic,,,wagon,GRAY,Brilliant Silver,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: Rogue,  Engine: 2.5L I4 16V, Trim: S Sport Utility 4D, Options: , Inner Color: GRAY, Outside color: Brilliant Silver"
3496,https://www.ebay.com/itm/203747077415?hash=item2f7045ad27%3Ag%3Atv0AAOSwDCNhER1k&LH_BIN=1,2018 Nissan Rogue SL Sport Utility 4D,"Haines City, Florida, United States",nissan,Rogue,SL Sport Utility 4D,2.5L I4 16V,21990,2018,48656,automatic,,,wagon,GRAY,Magnetic Black,Gasoline,Clean,Dealer,Haines City,Florida,Florida,28.11,-81.6157,FL,"Model: Rogue,  Engine: 2.5L I4 16V, Trim: SL Sport Utility 4D, Options: , Inner Color: GRAY, Outside color: Magnetic Black"
3497,https://www.ebay.com/itm/203747088025?hash=item2f7045d699%3Ag%3A%7EDAAAOSwsllhHP1g&LH_BIN=1,2018 Ford EcoSport SES Sport Utility 4D,"Tempe, Arizona, United States",ford,AWD SES 4dr Crossover,SES Sport Utility 4D,2.0L I4 166hp 149ft. lbs.,19990,2018,28967,automatic,,,wagon,Ebony Black,Smoke,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: AWD SES 4dr Crossover,  Engine: 2.0L I4 166hp 149ft. lbs., Trim: SES Sport Utility 4D, Options: , Inner Color: Ebony Black, Outside color: Smoke"
3498,https://www.ebay.com/itm/203748210777?hash=item2f7056f859%3Ag%3AivIAAOSwNS9hkUW%7E&LH_BIN=1,2019 Ford Flex SEL Sport Utility 4D,"Tempe, Arizona, United States",ford,SEL 4dr Crossover,SEL Sport Utility 4D,3.5L V6 287hp 254ft. lbs.,31990,2019,30424,automatic,,,wagon,Beige,Blue,Gasoline,Clean,Dealer,Tempe,Arizona,Arizona,33.3881,-111.9318,AZ,"Model: SEL 4dr Crossover,  Engine: 3.5L V6 287hp 254ft. lbs., Trim: SEL Sport Utility 4D, Options: , Inner Color: Beige, Outside color: Blue"
